Date,AAPL,AMZN,DAID,FBBK,MSFT,TSLA,TWTR
2016-02-09,22.017315,482.07000700000003,43.924549,99.540001,44.677338,29.65,14.4
2016-02-10,21.850431,490.48001100000005,44.035938,101.0,45.067177,28.733999,14.98
2016-02-11,21.718315,503.82000700000003,43.686924,101.910004,45.049046000000004,30.094,14.31
2016-02-12,21.785532,507.079987,45.231514000000004,102.010002,45.783382,30.208,15.88
2016-02-16,22.399767,521.099976,46.286003,101.610001,46.650845000000004,31.034,16.360001
2016-02-17,22.742804,534.099976,48.164776,105.199997,47.865292,33.736,17.459999
2016-02-18,22.311682,525.0,48.06081,103.470001,47.655273,33.354,18.43
2016-02-19,22.260695000000002,534.900024,47.058304,104.57,47.317425,33.316002000000005,18.309998999999998
2016-02-22,22.455397,559.5,47.815754,107.160004,48.075302,35.548,18.299999
2016-02-23,21.947782999999998,552.9400019999999,46.67215,105.459999,46.733021,35.442001,18.299999
2016-02-24,22.274599,554.039978,44.763683,106.879997,46.897396,35.799999,18.0
2016-02-25,22.42758,555.150024,45.127556,108.07,47.57309,37.486,17.59
2016-02-26,22.462345000000003,555.22998,46.523635999999996,107.91999799999999,46.842605999999996,38.068001,17.940001000000002
2016-02-29,22.411351999999997,552.52002,46.857803000000004,106.91999799999999,46.459103000000006,38.386002000000005,18.120001000000002
2016-03-01,23.301410999999998,579.039978,48.038532000000004,109.82,48.011390999999996,37.27,17.85
2016-03-02,23.352404,580.210022,49.300940999999995,109.949997,48.349243,37.667999,18.540001
2016-03-03,23.526243,577.48999,49.494019,109.58000200000001,47.801357,39.147999,19.309998999999998
2016-03-04,23.876238,575.1400150000001,49.976707,108.389999,47.509171,40.208,19.360001
2016-03-07,23.612,562.799988,49.739079,105.730003,46.596058,41.057999,19.17
2016-03-08,23.417303,560.26001,48.30587,105.93,47.162193,40.52,18.33
2016-03-09,23.438164,559.469971,48.476662,107.510002,48.248791,41.743999,17.66
2016-03-10,23.449755,558.929993,46.456802,107.32,47.527446999999995,41.035999,16.610001
2016-03-11,23.702396,569.6099849999999,48.335567,109.410004,48.458813,41.5,16.809998999999998
2016-03-14,23.762660999999998,573.369995,49.219254,109.889999,48.550133,43.029999,17.120001000000002
2016-03-15,24.240139000000003,577.02002,49.330643,110.66999799999999,48.933632,43.667999,16.190001000000002
2016-03-16,24.562325,574.27002,50.236614,112.18,49.627594,44.386002000000005,16.700001
2016-03-17,24.522917,559.4400019999999,49.479168,111.019997,49.91066,45.276001,16.85
2016-03-18,24.550736999999998,552.080017,49.954426,111.449997,48.842316,46.548,16.85
2016-03-21,24.548417999999998,553.97998,49.516296000000004,111.849998,49.180168,47.664001,16.889999
2016-03-22,24.736164000000002,560.47998,49.716793,112.25,49.371925,46.848,16.860001
2016-03-23,24.599409,569.630005,49.961853000000005,112.540001,49.280613,44.515999,16.01
2016-03-24,24.49279,582.950012,48.907368,113.050003,49.499759999999995,45.549999,15.91
2016-03-29,24.958675,593.8599849999999,49.27124,116.139999,49.956314,46.026001,15.97
2016-03-30,25.394432000000002,598.6900019999999,50.444542,114.699997,50.266777000000005,45.377998,16.360001
2016-03-31,25.262314,593.6400150000001,50.028687,114.099998,50.431133,45.953998999999996,16.549999
2016-04-01,25.494101,598.5,48.922215,116.059998,50.741589000000005,47.518002,15.98
2016-04-04,25.756018,593.1900019999999,48.565777000000004,112.550003,50.613754,49.397999,17.09
2016-04-05,25.452382999999998,586.1400150000001,46.857803000000004,112.220001,49.819347,51.094002,17.049999
2016-04-06,25.718939000000002,602.080017,46.412247,113.709999,50.330696,53.084,17.26
2016-04-07,25.158012,591.429993,46.623740999999995,113.639999,49.728043,51.439999,16.98
2016-04-08,25.185825,594.599976,46.702076,110.629997,49.691505,50.014,16.65
2016-04-11,25.269270000000002,595.929993,47.391407,108.989998,49.591072,49.984001,16.51
2016-04-12,25.598402,603.169983,48.018066,110.610001,49.901524,49.563999,16.57
2016-04-13,25.969259,614.820007,49.74139,110.510002,50.540703,50.905998,17.370001000000002
2016-04-14,25.98317,620.75,50.023392,110.839996,50.549834999999995,50.372002,17.530001000000002
2016-04-15,25.461653,625.8900150000001,48.965897,109.639999,50.814648,50.902,17.58
2016-04-18,24.912319,635.349976,49.749221999999996,110.449997,51.554264,50.776001,17.309998999999998
2016-04-19,24.780209,627.900024,51.417713,112.290001,51.490341,49.473999,16.92
2016-04-20,24.831194,632.98999,51.801544,112.41999799999999,50.75985,49.993999,17.4
2016-04-21,24.562325,631.0,52.216716999999996,113.440002,50.933338,49.658001,17.51
2016-04-22,24.495108,620.5,49.545563,110.559998,47.280899,50.75,17.23
2016-04-25,24.356033,626.200012,49.200897,110.099998,47.582237,50.363997999999995,17.09
2016-04-26,24.186832,616.880005,49.294899,108.760002,46.97044,50.748001,17.75
2016-04-27,22.673269,606.570007,49.169559,108.889999,46.513882,50.293999,14.86
2016-04-28,21.98023,602.0,49.334064,116.730003,45.564254999999996,49.542,14.64
2016-04-29,21.727589000000002,659.590027,47.540237,117.58000200000001,45.53685,48.152,14.62
